Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How can I reduce blood sugar levels quickly?,English,recommendation_for_diabetes,"Drink water, exercise, and avoid high-carb foods immediately.",Frequent urination,diabetes,Monitor your sugar levels and consult a doctor for further advice.,50.0,Female,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කළ යුතුය.",Headache,hypertension,Include potassium-rich foods and practice relaxation techniques.,55.0,Male,hypertension
What are the symptoms of low blood pressure?,English,diagnosis_inquiry,"Symptoms include dizziness, fainting, and blurred vision.",Dizziness,low_blood_pressure,"Drink water and eat small, frequent meals to maintain blood pressure levels.",35.0,Male,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Balance your meals with fiber-rich foods, lean proteins, and healthy fats.",40.0,Female,diabetes
How can I reduce stress at work?,English,recommendation,"Take short breaks, prioritize tasks, and practice mindfulness techniques.",Fatigue,stress,Stay hydrated and avoid caffeine during work hours.,45.0,Male,general
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පොටෑසියම් අඩංගු ආහාර වැනි බෝංචි සහ පලා වර්ග භාවිතා කරන්න.,Headache,hypertension,Avoid processed snacks and focus on fresh vegetables and fruits.,60.0,Female,hypertension
What are good foods for heart health?,English,food_advice,"Foods like salmon, avocados, and nuts improve heart health.",Chest discomfort,heart_disease,Avoid fried and processed foods; focus on omega-3-rich foods.,50.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Maintain a consistent sleep routine and practice breathing exercises.,35.0,Female,general
How can I improve digestion naturally?,English,recommendation,"Eat more fiber, stay hydrated, and avoid overeating.",Bloating,indigestion,Include probiotics like yogurt and avoid high-fat meals.,40.0,Male,general
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර වැනි සැල්මන් සහ වැල්නට් භාවිතා කරන්න.,Chest discomfort,heart_disease,Avoid sugary and fried foods and include leafy greens in your meals.,55.0,Male,general
What snacks are good for diabetes?,English,food_advice_for_diabetes,"Snacks like almonds, boiled eggs, and raw vegetables are good for managing diabetes.",Frequent urination,diabetes,"Avoid sugary snacks and include low-carb, high-fiber options.",50.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් අවශ්‍යයි.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පෝෂ්‍යදායී ආහාර භාවිතා කරන්න.,Headache,hypertension,Focus on potassium-rich foods like bananas and spinach.,45.0,Male,hypertension
How can I manage diabetes and stress?,English,recommendation_for_both,"Monitor blood sugar regularly, practice relaxation techniques, and maintain a balanced diet.",Frequent urination,diabetes_+_stress,Stay physically active and drink plenty of water daily.,55.0,Male,both
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රම භාවිතා කරන්න.,Fatigue,stress,Engage in mindfulness activities and ensure consistent physical activity.,40.0,Female,general
What are symptoms of poorly controlled hypertension?,English,diagnosis_inquiry_for_hypertension,"Symptoms include headaches, dizziness, and blurred vision.",Headache,hypertension,Monitor blood pressure daily and avoid salty foods.,50.0,Male,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include whole grains, lean proteins, and fiber-rich vegetables in every meal.",35.0,Male,diabetes
How can I boost energy levels naturally?,English,recommendation,"Stay hydrated, eat balanced meals, and engage in regular physical activity.",Fatigue,general,Avoid sugary snacks and focus on nutrient-dense foods like nuts and fruits.,50.0,Female,general
How can I control diabetes through diet?,English,recommendation_for_diabetes,"Include fiber-rich foods, avoid sugary drinks, and eat low-glycemic index foods like oats and legumes.",Frequent urination,diabetes,Monitor blood sugar levels and consult a dietitian for personalized advice.,45.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ මනෝවිද්‍යා ආතතිය අඩු කිරීමේ ක්‍රම භාවිතා කරන්න.,Headache,hypertension,"Avoid processed foods, stay active, and practice deep breathing exercises.",50.0,Female,hypertension
What are the symptoms of type 2 diabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include increased thirst, frequent urination, fatigue, and slow-healing wounds.",Fatigue,diabetes,Consult a doctor for blood tests and manage blood sugar through diet and exercise.,40.0,Female,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ප්‍රෝටීන් සහිත ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Plan meals with vegetables, lean proteins, and whole grains while avoiding sugar.",35.0,Male,diabetes
How does stress impact blood pressure?,English,information_request_for_hypertension,"Stress increases cortisol levels, leading to temporary spikes in blood pressure.",Fatigue,hypertension,Practice relaxation techniques like meditation and ensure regular sleep patterns.,55.0,Male,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපදෙස් ලබාදෙන්න.,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට සෙරීස් සහ ධ්‍යානය භාවිතා කරන්න.,Fatigue,stress,Maintain consistent sleep schedules and avoid stimulants like caffeine or nicotine.,30.0,Female,general
What foods can lower cholesterol naturally?,English,food_advice,"Foods like nuts, oats, fatty fish, and olive oil help reduce cholesterol levels.",,high_cholesterol,Avoid trans fats and consume fiber-rich foods daily.,50.0,Male,general
මට අධි පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි පීඩනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,"Include potassium-rich foods like spinach, bananas, and sweet potatoes.",45.0,Male,hypertension
How can I manage both diabetes and stress?,English,recommendation_for_both,"Monitor blood sugar levels frequently, practice mindfulness, and maintain a balanced diet.",Fatigue,stress_+_diabetes,Avoid sugary snacks and practice light exercises like walking or yoga.,40.0,Female,both
මට ආහාර පෝෂණ මනාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"ග්ලූකෝස් අඩු ආහාර, අඩු ලවණ ආහාර සහ පෝෂණදායී ශාක ආහාර මනාලනය සඳහා වඩාත් සුදුසු වේ.",Frequent urination,diabetes,"Balance your meals with fiber-rich foods, lean proteins, and healthy fats.",50.0,Male,diabetes
What are suitable snacks for hypertension?,English,food_advice_for_hypertension,"Unsalted nuts, raw vegetables, and low-fat dairy products are good snacks for managing hypertension.",Headache,hypertension,Avoid salty processed snacks and include magnesium-rich foods in your diet.,35.0,Female,hypertension
